neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
Gortacoula,,Turnpike Road,County Tipperary,Ireland,
Mountashton,,Blackrock,County Dublin,Ireland,
Ballsbridge,,Dublin,County Dublin,Ireland,D04 E9E8
,,Dublin,County Dublin,Ireland,D04 A3V9
Killowny,,Killowney,County Cork,Ireland,
,,Cork,County Cork,Ireland,T12 RW7C
,,Roscommon,County Roscommon,Ireland,
Adare,,Adare Manor,County Limerick,Ireland,V94 Y7TP
Ratooragh,,Rathoora,County Cork,Ireland,
Drumrainy,,Drumareany,County Donegal,Ireland,
Ballina,,Ballina,County Mayo,Ireland,F26 R7F6
Maynooth,,Maynooth,County Kildare,Ireland,
Merrion,,Dublin,County Dublin,Ireland,
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 W7R6
Lahesseragh,,Mcdonnell's Riding School,County Tipperary,Ireland,
,,Kinsale,County Cork,Ireland,
,,Newtown Monasterboice,County Louth,Ireland,
Burrow,,Portmarnock,County Dublin,Ireland,D13 E436
,,Waterford,County Waterford,Ireland,X91 E4WD
Ballynagittagh,,Kilconly,County Galway,Ireland,
Derrynacross,,Cox's Line,County Roscommon,Ireland,
,,Whitehall,County Longford,Ireland,
,Dublin 7,,County Dublin,Ireland,D07 NR58
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 XT80
Parkbawn,,Kyle Road,County Laois,Ireland,
Kilgarvan,,Cobh,County Cork,Ireland,P24 FW56
,,Dublin,County Dublin,Ireland,D06 F4E3
Drumbaran,,Ardara,County Donegal,Ireland,F94 V6V4
Clonygrange,,Cloneygrange,County Meath,Ireland,
Kilgarvan,,Cobh,County Cork,Ireland,P24 V093
Moorfield,,Newbridge,County Kildare,Ireland,
Townparks,,Mountmellick,County Laois,Ireland,R32 N5Y3
Malahide,,Malahide,County Dublin,Ireland,
Caherwalter,,Loughrea,County Galway,Ireland,H62 D308
Lurgan,,Dalgan,County Galway,Ireland,
,Dublin 16,,County Dublin,Ireland,D16 Y2R2
Rathmines,Dublin 6,,County Dublin,Ireland,
Tinnynarr,,Edgeworthstown,County Longford,Ireland,N39 CK33
Dunlavin Upper,,Dunlavin,County Wicklow,Ireland,
Clonshagh,Dublin 17,,County Dublin,Ireland,
Ballyfireen,,Quarry Hall Cross,County Cork,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 W6Y0
Glasheen,,Cork,County Cork,Ireland,
,,Passage West,County Cork,Ireland,
Ringmeen,,Cobh,County Cork,Ireland,
The Dale,,Drogheda,County Louth,Ireland,A92 T2RF
,,Dublin,County Dublin,Ireland,
,,Limerick,County Limerick,Ireland,V94 PV06
Kilcotty Beg,,Barnahask,County Wexford,Ireland,
Hartstown,,Dublin,County Dublin,Ireland,D15 A4XR
Esker South,,Lucan,County Dublin,Ireland,K78 TX97
Brenanstown,,Cabinteely,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Farranboley,Dublin 14,,County Dublin,Ireland,D14 A318
Oghambaun,,Tobercurry,County Sligo,Ireland,F91 F2N3
Billistown,,Caddagh Cross,County Westmeath,Ireland,
Ballyvireen,,Rosscarbery,County Cork,Ireland,P85 CY22
,Dublin 16,,County Dublin,Ireland,D16 Y2V6
Marshallstown,,Swords,County Dublin,Ireland,
Laghtcausk,,Laghtcaust,County Roscommon,Ireland,
Ballincurrig,,Broadstrand,County Cork,Ireland,
Moorfield,,Newbridge,County Kildare,Ireland,W12 NT95
Lognafulla,,Thurles,County Tipperary,Ireland,
Glebe,,Puckane National School,County Tipperary,Ireland,
,,Liscannor,County Clare,Ireland,V95 YD77
Bree,,Castleblayney,County Monaghan,Ireland,A75 CF51
Clonroad Beg,,Ennis,County Clare,Ireland,V95 NN96
Glenageary,,Dublin,County Dublin,Ireland,A96 V1N1
Marshes Lower,,Dundalk,County Louth,Ireland,A91 HV0F
Castleredmond,,Midleton,County Cork,Ireland,P25 DK71
Rowlagh,Dublin 22,,County Dublin,Ireland,D22 P5K5
Turagh,,Cappamore,County Limerick,Ireland,V94 KN5X
Dunlo,,Ballinasloe,County Galway,Ireland,H53 P527
Shannagh,,Mohill,County Leitrim,Ireland,N41 CD79
,,Galway,County Galway,Ireland,H91 DNP5
,,Dublin,County Dublin,Ireland,
Ballycarnane,,Tramore,County Waterford,Ireland,X91 RD78
,,Dublin,County Dublin,Ireland,
,,Cork,County Cork,Ireland,T23 K5K6
,,Drogheda,County Louth,Ireland,A92 CX7P
Inchicore,Dublin 8,,County Dublin,Ireland,D08 DH5K
,,Dublin,County Dublin,Ireland,
Castlequin,Caherciveen,,County Kerry,Ireland,V23 DA29
Saint James' (part of Phoenix Park),Dublin 8,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 KT61
Stillorgan,,Dublin,County Dublin,Ireland,
Drummond Otra,,Carrickmacross,County Monaghan,Ireland,A81 DC98
,,Malahide,County Dublin,Ireland,
,,Castlebar,County Mayo,Ireland,
Kilmalogue,,Portarlington,County Offaly,Ireland,R32 KH94
Astee East,,Asdee East,County Kerry,Ireland,
Mell,,Waterunder,County Louth,Ireland,
Carrowncurry,,Castlebar,County Mayo,Ireland,F23 RD35
Inchera,,Glanmire,County Cork,Ireland,T45 RR98
Tullyglass,,Shannon,County Clare,Ireland,V14 W932
Garrangibbon,,Creamery Road,County Tipperary,Ireland,
,,Ovens,County Cork,Ireland,P31 DN79
Aughris,,Meenashammer,County Sligo,Ireland,
Ballycasey More,,Shannon,County Clare,Ireland,V14 KC61
Edenderry,,Edenderry,County Offaly,Ireland,R45 K406
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 FW11
Ballynagoshen,,Corbay Upper,County Longford,Ireland,
,,Dublin,County Dublin,Ireland,
The Glen,,Cork,County Cork,Ireland,
,,Galway,County Galway,Ireland,
Greencloyne,,Youghal,County Cork,Ireland,P36 R624
Ballyboggan,,,County Wexford,Ireland,Y35 P8D2
Inchicore,Dublin 8,,County Dublin,Ireland,D08 VW22
Derrynafunshion,,Drumgoole,County Laois,Ireland,
Youghal-Lands,,Youghal,County Cork,Ireland,P36 D343
Saundersgrove,,Tuckmill,County Wicklow,Ireland,
Nymphhall,,Dunmore East,County Waterford,Ireland,X91 P9R2
Clonmullin,,Athy,County Kildare,Ireland,R14 V290
Derrynacross,,Bealach an Doirín,Contae Ros Comáin,Ireland,F45 VX58
Duntahane,,Fermoy,County Cork,Ireland,P61 K593
Townparks,,Longford,County Longford,Ireland,
Carrignavar,,Carrignavar,County Cork,Ireland,T34 AW68
Rasuddan,,Five Cross Roads,County Cavan,Ireland,
Ballyhugh,,Gort,County Galway,Ireland,H91 AEV6
,Dublin 4,,County Dublin,Ireland,
Ballybrone,,Waterview,County Galway,Ireland,
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 F5C9
Kilcalf East,,Kilcalf,County Waterford,Ireland,
Goreybridge,,Gorey,County Wexford,Ireland,Y25 D237
,Dublin 9,,County Dublin,Ireland,D09 T9Y7
Ballytivnan,,Sligo,County Sligo,Ireland,F91 V8PV
Coolgreany,,Coolgreany,County Wexford,Ireland,
,Dublin 6W,,County Dublin,Ireland,D6W XC78
Glassillaun,,Glassillaun,County Galway,Ireland,
Portumna Demesne,,Portumna,County Galway,Ireland,H53 HP38
Deerpark East,,Westport,County Mayo,Ireland,F28 PV24
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 F8N7
Kildare,,Kildare,County Kildare,Ireland,
Dooradoyle,,Dooradoyle,County Limerick,Ireland,V94 D95A
Cleaghgarve,,Ballinasloe,County Galway,Ireland,H53 W274
Moat,,Mote,County Meath,Ireland,
,,Limerick,County Limerick,Ireland,
,Dublin 7,,County Dublin,Ireland,D07 W6Y4
Scartagh,,Clonakilty,County Cork,Ireland,P85 NY03
,Dublin 1,,County Dublin,Ireland,
,Dublin 6W,,County Dublin,Ireland,D6W W729
Tootenhill,,Rathcoole,County Dublin,Ireland,D24 EY9D
Gortavalla,,,County Tipperary,Ireland,E34 FN84
Rocheshill,,Killiney,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Lagavooren,,Drogheda,County Louth,Ireland,A92 XV0P
Tinageragh,,Tinegeragh,County Cork,Ireland,
Smithfield,,Dublin,County Dublin,Ireland,D07 WF61
Seneschalstown,,Yellow Furze,County Meath,Ireland,
,,Barna,County Galway,Ireland,
Flemingtown South,,Mullacash,County Kildare,Ireland,
Bowling Green,,New Ross,County Wexford,Ireland,Y34 WY91
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 TP86
Kilbronoge,,Kilbronogue,County Cork,Ireland,
Kinure,,Oysterhaven,County Cork,Ireland,P17 KR66
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 F3X6
Dromdarrig,,Limerick,County Limerick,Ireland,
Deerpark West,,Glenco,County Mayo,Ireland,
Glasnevin,Dublin 9,,County Dublin,Ireland,
,Ballycastle,,Northern Ireland,United Kingdom,
Ballinlough,,Ballinlough,County Roscommon,Ireland,
Gayfield,,Tullamore,County Offaly,Ireland,R35 AE10
Carhookeal,,Mallow,County Cork,Ireland,P51 T1KN
Buckwaria,,Westport,County Mayo,Ireland,F28 K728
Ballyvisteale Demesne,,,County Cork,Ireland,
Little Bray,,Bray,County Wicklow,Ireland,A98 V066
,,Dublin,County Dublin,Ireland,D18 YY71
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 Y3V5
Carpenterstown,,Dublin,County Dublin,Ireland,D15 Y2V5
,,Dublin,County Dublin,Ireland,A96 AX90
Killowen,,Kenmare,County Kerry,Ireland,V93 F8Y6
,,Dublin,County Dublin,Ireland,D12 E9C7
Townfields,,Cloughjordan,County Tipperary,Ireland,E53 VY36
Nymphhall,,Dunmore East,County Waterford,Ireland,X91 PK77
Drumcondra,Dublin 1,,County Dublin,Ireland,D01 K4A0
Burgage More,,Blessington,County Wicklow,Ireland,W91 PR52
Moneybeg,,Muine Bheag,County Carlow,Ireland,R21 YE12
,,Dublin,County Dublin,Ireland,A96 YK23
,Dublin 8,,County Dublin,Ireland,D08 WF8Y
,,Dublin,County Dublin,Ireland,D14 A3H6
Ballinlough,,Cork,County Cork,Ireland,T12 K5W5
Gortaloman,,Loughinwadda,County Galway,Ireland,
Portmarnock,,Portmarnock,County Dublin,Ireland,
Cloonascarberry (Cheevers),,Cloonascarberry,County Galway,Ireland,
Townparks,,Swords,County Dublin,Ireland,K67 W326
Portmarnock,,Portmarnock,County Dublin,Ireland,
Rathwire,,Killucan,County Westmeath,Ireland,N91 FK27
Gorey corporation lands,,Gorey,County Wexford,Ireland,Y25 T677
,Dublin 18,,County Dublin,Ireland,
Ballyvorisheen,,Oliver's Cross,County Cork,Ireland,
Dawsonsdemesne,,Ardee,County Louth,Ireland,A92 Y2T6
Dublin Docklands,,Dublin,County Dublin,Ireland,
Lisnagat,Carrick-On-Shannon,,County Leitrim,Ireland,N41 C9K3
Thurles Townparks,,Thurles,County Tipperary,Ireland,
Thurles Townparks,,Thurles,County Tipperary,Ireland,
Coole,,Clonora,County Tipperary,Ireland,
Lisanisk,,Carrickmacross,County Monaghan,Ireland,A81 WP96
Clontarf,,Dublin,County Dublin,Ireland,D03 W1Y6
Walkinslough,,Kilkenny,County Kilkenny,Ireland,R95 C6F2
Killarney,,Bray,County Wicklow,Ireland,A98 F2Y9
Brittas,,Brittas Bay,County Wicklow,Ireland,A67 W421
Rocheshill,,Killiney,County Dublin,Ireland,
Cabinteely,,Cabinteely,County Dublin,Ireland,D18 Y5W4
Dooradoyle,,Dooradoyle,County Limerick,Ireland,V94 KC60
Buttevant,,Buttevant,County Cork,Ireland,P51 H9DT
,,Ballaghaderreen,County Roscommon,Ireland,F45 PH01
,,Garristown,County Dublin,Ireland,
Maryborough,,Portlaoise,County Laois,Ireland,R32 AN2V
Stagreenan,,Drogheda,County Louth,Ireland,A92 F3XA
Muiniagh,,Tullamore,County Offaly,Ireland,R35 C1X2
Puttaghan,,Tullamore,County Offaly,Ireland,
Muiniagh,,Norbury Woods,County Offaly,Ireland,R35 F2H5
Dalkey,,Killiney,County Dublin,Ireland,
Glebe,,Castlecomer,County Kilkenny,Ireland,R95 X4X5
Mallow,,Mallow,County Cork,Ireland,P51 YH7V
Cloghmacsimon,,Bandon,County Cork,Ireland,P72 ND88
,,Waterford,County Waterford,Ireland,X91 YAA0
Castletenison Demesne,,Kilnageer,County Roscommon,Ireland,
,,Cork,County Cork,Ireland,T23 FNH4
,,Dublin,County Dublin,Ireland,
Clongower,,Thurles,County Tipperary,Ireland,E41 VH28
Killeroran,,Ballygar,County Galway,Ireland,F42 KH26
,,Galway,County Galway,Ireland,H91 YFR7
Knockmullen,,Gorey,County Wexford,Ireland,Y25 V9D3
Gorey corporation lands,Gorey,,County Wexford,Ireland,
Clontarf,Dublin 3,,County Dublin,Ireland,D03 PR64
Slippery Green,,Wexford,County Wexford,Ireland,
Graiguenamanagh,,Graiguenamanagh,County Kilkenny,Ireland,
Blackrock,,Cork,County Cork,Ireland,T12 X4C6
Killeen,,Whitestrand,County Kerry,Ireland,
Roebuck,Dublin 14,,County Dublin,Ireland,D14 H663
Rathmines,Dublin 6,,County Dublin,Ireland,D06 C3K2
,,Clane,County Kildare,Ireland,
Chambersland,,New Ross,County Wexford,Ireland,Y34 F620
,Dublin 14,,County Dublin,Ireland,D14 KX63
Betaghstown,,Bettystown,County Meath,Ireland,
Lawaus,,Leface,County Mayo,Ireland,
,,Dublin,County Dublin,Ireland,D6W VE42
,,Cork,County Cork,Ireland,T12 X9CP
Turners Cross,,Cork,County Cork,Ireland,T12 V248
Shannonspark West,,Easky,County Sligo,Ireland,F26 X300
Carton Demesne,,Maynooth,County Kildare,Ireland,W23 D9F8
,,Dublin,County Dublin,Ireland,D04 T9E8
Nenagh North,,Nenagh,County Tipperary,Ireland,E45 TW90
Gowlagh South,,Owengallis,County Cavan,Ireland,
Ballyclamasy,,Youghal,County Cork,Ireland,P36 R201
Castleredmond,,Midleton,County Cork,Ireland,P25 RY10
,,Midleton,County Cork,Ireland,
Castleredmond,,Midleton,County Cork,Ireland,P25 RX38
Rathdown Lower,,Greystones,County Wicklow,Ireland,A63 FD96
Castleredmond,,Midleton,County Cork,Ireland,
Cummer,Tuam,,County Galway,Ireland,H54 Y362
,Dublin 7,,County Dublin,Ireland,
Gardens,,Kilkenny,County Kilkenny,Ireland,R95 XY6D
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 H9F8
Baltimore,,Baltimore,County Cork,Ireland,P81 H272
,,Rathlogan,County Tipperary,Ireland,
Brideswell Commons,Dublin 22,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Fortunestown,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Ballykeeroge,,Campile,County Wexford,Ireland,Y34 T259
Ballyphehane,,Cork,County Cork,Ireland,T12 K2Y6
Carrowcushlaun West,,Ballina,County Mayo,Ireland,F26 C8C9
Lurgans,,Carrickmacross,County Monaghan,Ireland,A81 DT28
Montenotte,,Cork,County Cork,Ireland,
Gorteendrunagh,,Castlebar,County Mayo,Ireland,F23 KR20
Liberties of Carlingford,,Carlingford,County Louth,Ireland,A91 KK39
Dromhale,,Killarney,County Kerry,Ireland,
Blackrock,,Cork,County Cork,Ireland,
Cloonwhite South,,Clonwhite,County Clare,Ireland,
Kilmainham,Dublin 10,,County Dublin,Ireland,D10 ET81
Edenderry,,Edenderry,County Offaly,Ireland,R45 YX05
Dromhale,,Killarney,County Kerry,Ireland,
Dromin Upper,,Listowel,County Kerry,Ireland,V31 YD23
Stradavoher,,Thurles,County Tipperary,Ireland,E41 EY24
Temple Bar,Dublin 2,,County Dublin,Ireland,
Loughane,,Ladysbridge,County Cork,Ireland,
Dunlavin Upper,,Dunlavin,County Wicklow,Ireland,W91 K2D9
Moneybeg,,Muine Bheag,County Carlow,Ireland,R21 X628
Botanic,Dublin 9,,County Dublin,Ireland,D09 K7P0
Killary,,Killeary,County Meath,Ireland,
,Dublin 8,,County Dublin,Ireland,
Glenageary,,Dublin,County Dublin,Ireland,A96 A3P4
,Dublin 16,,County Dublin,Ireland,D16 RH93
Kilmainham,Dublin 8,,County Dublin,Ireland,D08 ADW0
Saint Kevin's,Dublin 2,,County Dublin,Ireland,
Aghalateeve,,Glenade,County Leitrim,Ireland,
,,Mallow,County Cork,Ireland,P51 N7CW
Kilmacud West,,Blackrock,County Dublin,Ireland,A94 WD26
Townparks,,Skerries,County Dublin,Ireland,
Stalleen,,Staleen,County Meath,Ireland,
Carrigrohane,,Ballincollig,County Cork,Ireland,P31 PN59
Nicholastown,,Athy,County Kildare,Ireland,R14 FX74
Ardrew,,Athy,County Kildare,Ireland,R14 DV52
,,Dublin,County Dublin,Ireland,
Leitrim,,Leitrim Village,County Leitrim,Ireland,
,,Swords,County Dublin,Ireland,K67 HC81
Killough Lower,,Killough,County Wicklow,Ireland,
Ballyknock,,Guileen,County Cork,Ireland,
Friarsground,Ballyhaunis,,County Roscommon,Ireland,
Rathmullan,,Drogheda,County Louth,Ireland,
,,Kinnegad,County Westmeath,Ireland,N91 H103
Buzzardstown,Dublin 15,,County Dublin,Ireland,D15 X6Y0
Rath More,,Kinsale,County Cork,Ireland,P17 NP22
Carrowbunnaun,,Strandhill,County Sligo,Ireland,F91 H2H6
Lusk,,Lusk,County Dublin,Ireland,K45 YW56
,,Ballincollig,County Cork,Ireland,P31 AK03
Leggetsrath West,,Kilkenny,County Kilkenny,Ireland,R95 TWR3
,,Dublin,County Dublin,Ireland,
Carrowkeel East,,Inagh,County Clare,Ireland,
Carrowkeel East,,Inagh,County Clare,Ireland,
,Dublin 6W,,County Dublin,Ireland,
,,Gaillimh,Contae na Gaillimhe,Ireland,H91 AN20
Bryanstown,,Drogheda,County Louth,Ireland,A92 PN2F
Tralee,,Tralee,County Kerry,Ireland,
Beenbane,,Waterville,County Kerry,Ireland,V23 K682
Drummond Otra,,Carrickmacross,County Monaghan,Ireland,A81 CP58
Blackrock,,Blackrock,County Dublin,Ireland,A94 V9X3
Skehanagh,,Crecora,County Limerick,Ireland,
,Dublin 8,,County Dublin,Ireland,
Rathvilla,,Killeenmore,County Offaly,Ireland,
,,Tawney Upper,County Donegal,Ireland,
Crossmoyle,,Clones,County Monaghan,Ireland,
Dromore,,Drummin,County Cork,Ireland,
Lowertown,,Lowertown South,County Cork,Ireland,
Kilkea Lower,,Kilkea,County Kildare,Ireland,R14 F240
Gleninagh North,,Rathmorgan,County Clare,Ireland,
Seafield,,Youghal,County Cork,Ireland,P36 C562
,,Enniscorthy,County Wexford,Ireland,
Ballinacor West,,Kilbride,County Wicklow,Ireland,A67 XY10
Scartagh,,Clonakilty,County Cork,Ireland,P85 W135
Tramore East,,Tramore,County Waterford,Ireland,
Moneycross Upper,,Millands,County Wexford,Ireland,
,Dublin 6,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D07 X635
Dunmore,,Dunmore East,County Waterford,Ireland,X91 DR74
Moneymore,,Drogheda,County Louth,Ireland,A92 A210
Castleconway,,Killorglin,County Kerry,Ireland,V93 DT98
Fairview,Dublin 3,,County Dublin,Ireland,
Gransha Lower,,,County Kerry,Ireland,
Cosher,,Kilmuckridge,County Wexford,Ireland,Y25 FX99
Kilcrohane,,Kilcrohane,County Cork,Ireland,P75 DR60
Cartronkillerdoo,,Cliffony,County Sligo,Ireland,F91 K5N2
Kilbane,,Castletroy,County Limerick,Ireland,V94 D9DE
Clare,,Claremorris,County Mayo,Ireland,
Drum,,Knock,County Mayo,Ireland,F12 NH51
Drum,,Knock,County Mayo,Ireland,
Drum,,Knock,County Mayo,Ireland,
Maynooth,,Maynooth,County Kildare,Ireland,
Cloongowna,,Bealnamulla,County Roscommon,Ireland,N37 K6X6
Dalkey,,Dalkey,County Dublin,Ireland,A96 DX90
Scalpwilliam,,Dalkey,County Dublin,Ireland,A96 X0N2
Saint Kevin's,Dublin 2,,County Dublin,Ireland,D02 P210
,,Dublin,County Dublin,Ireland,
Kilgobnet,,Knockenpower,County Waterford,Ireland,
Kiltipper,,Dublin,County Dublin,Ireland,D24 CX95
Lathaleere,,Baltinglass,County Wicklow,Ireland,W91 K240
Mountashton,,Blackrock,County Dublin,Ireland,A94 D928
,,,County Cavan,Ireland,
Friarshill,,Ballaghaderreen,County Roscommon,Ireland,F45 RF64
Glebe,,Ballaghaderreen,County Roscommon,Ireland,F45 HY74
Ballinspittle,,Spittlefield,County Cork,Ireland,P17 YX00
Whitehall,Dublin 14,,County Dublin,Ireland,D14 YN99
Shingaun,,Enniscorthy,County Wexford,Ireland,Y21 Y7H1
Tinahask Lower,,Arklow,County Wicklow,Ireland,Y14 YY15
Ballynakelly,,Newcastle,County Dublin,Ireland,D22 HT99
Naas East,,Naas,County Kildare,Ireland,W91 P3KK
Enniskerry,,Enniskerry,County Wicklow,Ireland,A98 D993
Botanic,Dublin 9,,County Dublin,Ireland,D09 A0F1
Longwood,,Longwood,County Meath,Ireland,A83 VF83
Cullairbaun,,Athenry,County Galway,Ireland,H65 W802
Cross West,,Cross,County Mayo,Ireland,
,,Cliffony,County Sligo,Ireland,F91 Y9R9
Westtown,,Ralph,County Waterford,Ireland,
Bellahy,,Charlestown,County Sligo,Ireland,F12 RF97
Clontarf,Dublin 3,,County Dublin,Ireland,D03 RF67
Cloheen,,Clonakilty,County Cork,Ireland,P85 N272
Ring Commons,,Bog of The Ring,County Dublin,Ireland,
Clogheder,,Balbriggan,County Dublin,Ireland,K32 PW58
Reengarrigeen,,Reacarrigeen,County Cork,Ireland,
,Dublin 2,,County Dublin,Ireland,D02 X938
Dooradoyle,,Limerick,County Limerick,Ireland,V94 W2F1
Clongower,,Thurles,County Tipperary,Ireland,E41 VH28
Deanscurragh,,Longford,County Longford,Ireland,N39 E7C3
,,Portarlington,County Laois,Ireland,R32 H985
,Dublin 12,,County Dublin,Ireland,D12 PW7W
,Dublin 12,,County Dublin,Ireland,D12 W7X9
,,Dublin,County Dublin,Ireland,
Lathaleere,,Baltinglass,County Wicklow,Ireland,W91 WV09
,,Dublin,County Dublin,Ireland,D12 Y272
Caheravoostia,,Carravilla,County Mayo,Ireland,
Cabra East,Dublin 7,,County Dublin,Ireland,D07 CFR6
Botanic,Dublin 9,,County Dublin,Ireland,D09 W2V6
Gleninagh North,,Cregg,County Clare,Ireland,
,Swords,,County Dublin,Ireland,K67 C993
Ard Gaoithe Íochtarach,,Cluain Meala,Contae Thiobraid Árann,Ireland,E91 C6F4
Kinsealy,,Kinsealy,County Dublin,Ireland,K36 H019
,Dublin 3,,County Dublin,Ireland,D03 V067
Brigown,,Mitchelstown,County Cork,Ireland,P67 FY86
,,Dooradoyle,County Limerick,Ireland,V94 PC8D
Parkmore,,Roscrea,County Tipperary,Ireland,E53 V062
Garrincreen,,Kilkenny,County Kilkenny,Ireland,R95 K4P9
Tivoli,,Silversprings,County Cork,Ireland,T23 Y768
Cloonrane,,Townagh,County Galway,Ireland,
,,Lahinch,County Clare,Ireland,
Raigh,,Roigh,County Mayo,Ireland,
Ballyspillane,,Killarney,County Kerry,Ireland,V93 DK4R
Garryncurra,,Ballaghboy,County Clare,Ireland,
Maryborough,,Cork,County Cork,Ireland,T12 N7TC
Moanroe,,Loughcullen,County Kilkenny,Ireland,
Blackrock,,Blackrock,County Dublin,Ireland,A94 A2X4
Askingarran Lower,,Ardamine,County Wexford,Ireland,
Caherroyn,,Athenry,County Galway,Ireland,H65 CK74
Kilmacow,,Lower Kilmacow,County Kilkenny,Ireland,
Fairview,Dublin 3,,County Dublin,Ireland,D03 X3R8
Kilcolman,,Ballaghaderreen,County Roscommon,Ireland,F45 FD77
Cullairbaun,,Athenry,County Galway,Ireland,H65 KC93
Turners Cross,,Cork,County Cork,Ireland,T12 C44V
Merrion,,Blackrock,County Dublin,Ireland,A94 H960
Castleredmond,,Midleton,County Cork,Ireland,P25 TK44
,,Dublin,County Dublin,Ireland,
,,Galway,County Galway,Ireland,H91 XA9N
Turners Cross,,Cork,County Cork,Ireland,T12 V248
Jobstown,,Dublin,County Dublin,Ireland,D24 KTW8
Tullyrain,,Shantonagh,County Monaghan,Ireland,
,Dublin 14,,County Dublin,Ireland,
Ballylinchy,,Ballylinch East,County Cork,Ireland,
Raheen,,Clonmel,County Tipperary,Ireland,
Inchintaggart,,Gortnakilla,County Cork,Ireland,
Abbeycartron,,Longford,County Longford,Ireland,H39 HC78
Trascan,,Treascon,County Offaly,Ireland,
Rath-Healy,,Fermoy,County Cork,Ireland,P61 Y230
Killea,,Dunmore East,County Waterford,Ireland,X91 W2C2
Caher (Lane),,Caherlane,County Limerick,Ireland,
Graiguenoe,,Thurles,County Tipperary,Ireland,E41 X544
Cloghlea,,,County Clare,Ireland,
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 P9F5
Feighroe,,Connolly,County Clare,Ireland,
,,Swords,County Dublin,Ireland,
Derrynagun,,Ballycumber,County Offaly,Ireland,R35 KP60
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 VX99
,Dublin 6,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D04 X4Y1
,Dublin 10,,County Dublin,Ireland,
Coolnagloose,,,County Wexford,Ireland,
Carlow,,Carlow,County Carlow,Ireland,R93 V9X9
Ballynakelly,,Newcastle,County Dublin,Ireland,D22 E683
,,Cork,County Cork,Ireland,T23 Y0T0
Garrydaniel,,Monamolin,County Wexford,Ireland,Y25 KN50
Brinlack,,Brinlack Upper,County Donegal,Ireland,
Ballycommon,,Ballycommon,County Tipperary,Ireland,
Mohill,,,County Leitrim,Ireland,
Teeranea,,Lettermore,County Galway,Ireland,H91 A277
Ardagh East,,Ballyoughtera,County Cork,Ireland,
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 E4W2
,,Swords,County Dublin,Ireland,K67 CD30
,,Dublin,County Dublin,Ireland,D15 N5K3
Lodgepark,,Straffan,County Kildare,Ireland,W23 AK24
Ardagh East,,Ballyoughtera,County Cork,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 AX02
,,Galway,County Galway,Ireland,H91 YNX2
Clare,,Claremorris,County Mayo,Ireland,
Baltynanima,,Baltinanima,County Wicklow,Ireland,
Dublin Docklands,Dublin 2,,County Dublin,Ireland,D02 TF21
Shrule,,Shrule,County Mayo,Ireland,H91 C2X4
Stonybatter,,Wexford,County Wexford,Ireland,Y35 N2V1
Tullamore,,Tullamore,County Offaly,Ireland,R35 A896
Clare,,Claremorris,County Mayo,Ireland,F12 X6H6
,,Longford,County Longford,Ireland,
Greenville,,Enniscorthy,County Wexford,Ireland,Y21 W3Y6
,,Cork,County Cork,Ireland,
,Dublin 15,,County Dublin,Ireland,D15 A6DD
Shingaun,,Enniscorthy,County Wexford,Ireland,Y21 A3K5
Knockanenabohilly,,Curraghgalla,County Cork,Ireland,
Tullaghaboy,,Tullaghboy,County Galway,Ireland,
,,Lucan,County Dublin,Ireland,K78 K8K6
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 KX5N
Greenville,,Enniscorthy,County Wexford,Ireland,Y21 H5K3
Donaghmore,,Barry's Cove,County Cork,Ireland,
Drimnagh,Dublin 22,,County Dublin,Ireland,D22 P5P8
Lacka East,,Ballyduff,County Kerry,Ireland,V92 P6K1
Ross,,Tara,County Meath,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 KF25
Coolgarrow,,Enniscorthy,County Wexford,Ireland,Y21 C5X2
Clobanna,,Thurles Road,County Tipperary,Ireland,
Townparks,,Dundalk,County Louth,Ireland,A91 YPW7
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 VW58
